# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps
58.595071; -0.5599999999999996; 9.0; 0; 0; 1; 0
58.795018; -0.47999999999999954; 9.0; 0; 0; 1; 0
58.994965; -0.39999999999999947; 9.0; 0; 0; 1; 0
59.194912; -0.3200000000000003; 9.0; 0; 0; 1; 0
59.394859; -0.2400000000000002; 9.0; 0; 0; 1; 0
59.594806; -0.16000000000000014; 9.0; 0; 0; 1; 0
59.794753; -0.08000000000000007; 9.0; 0; 0; 1; 0
59.9947; 0.0; 9.0; 0; 0; 1; 0
60.194647; 0.08000000000000007; 9.0; 0; 0; 1; 0
60.394594; 0.16000000000000014; 9.0; 0; 0; 1; 0
60.594541; 0.2400000000000002; 9.0; 0; 0; 1; 0
60.794488; 0.3200000000000003; 9.0; 0; 0; 1; 0
60.994435; 0.40000000000000036; 9.0; 0; 0; 1; 0
61.194382; 0.4800000000000004; 9.0; 0; 0; 1; 0
61.394329; 0.5600000000000005; 9.0; 0; 0; 1; 0
61.594276; 0.6400000000000006; 9.0; 0; 0; 1; 0
61.794223; 0.7200000000000006; 9.0; 0; 0; 1; 0
61.99417; 0.8000000000000007; 9.0; 0; 0; 1; 0
62.194117; 0.8800000000000008; 9.0; 0; 0; 1; 0
62.394064; 0.9600000000000009; 9.0; 0; 0; 1; 0
62.594011; 1.040000000000001; 9.0; 0; 0; 1; 0
62.793958; 1.120000000000001; 9.0; 0; 0; 1; 0
62.993905; 1.200000000000001; 9.0; 0; 0; 1; 0
63.193852; 1.2799999999999994; 9.0; 0; 0; 1; 0
63.393799; 1.3599999999999994; 9.0; 0; 0; 1; 0
63.593746; 1.4399999999999995; 9.0; 0; 0; 1; 0
63.793693; 1.5199999999999996; 9.0; 0; 0; 1; 0
63.99364; 1.5999999999999996; 9.0; 0; 0; 1; 0
64.193587; 1.6799999999999997; 9.0; 0; 0; 1; 0
64.393534; 1.7599999999999998; 9.0; 0; 0; 1; 0
64.593481; 1.8399999999999999; 9.0; 0; 0; 1; 0
64.793428; 1.92; 9.0; 0; 0; 1; 0
64.993375; 2.0; 9.0; 0; 0; 1; 0
65.193322; 2.08; 9.0; 0; 0; 1; 0
65.393269; 2.16; 9.0; 0; 0; 1; 0
65.593216; 2.24; 9.0; 0; 0; 1; 0
65.793163; 2.3200000000000003; 9.0; 0; 0; 1; 0
65.99311; 2.4000000000000004; 9.0; 0; 0; 1; 0
66.193057; 2.4800000000000004; 9.0; 0; 0; 1; 0
66.393004; 2.5600000000000005; 9.0; 0; 0; 1; 0
66.592951; 2.6400000000000006; 9.0; 0; 0; 1; 0
66.792898; 2.7200000000000006; 9.0; 0; 0; 1; 0
66.992845; 2.8000000000000007; 9.0; 0; 0; 1; 0
67.192792; 2.880000000000001; 9.0; 0; 0; 1; 0
67.392739; 2.960000000000001; 9.0; 0; 0; 1; 0
67.592686; 3.040000000000001; 9.0; 0; 0; 1; 0
67.792633; 3.120000000000001; 9.0; 0; 0; 1; 0
67.99258; 3.200000000000001; 9.0; 0; 0; 1; 0
68.192527; 3.2799999999999994; 9.0; 0; 0; 1; 0
68.392474; 3.3599999999999994; 9.0; 0; 0; 1; 0
68.592421; 3.4399999999999995; 9.0; 0; 0; 1; 0
68.792368; 3.5199999999999996; 9.0; 0; 0; 1; 0
68.992315; 3.5999999999999996; 9.0; 0; 0; 1; 0
69.192262; 3.6799999999999997; 9.0; 0; 0; 1; 0
69.392209; 3.76; 9.0; 0; 0; 1; 0
69.592156; 3.84; 9.0; 0; 0; 1; 0
69.792103; 3.92; 9.0; 0; 0; 1; 0
69.99205; 4.0; 9.0; 0; 0; 1; 0
70.191997; 4.08; 9.0; 0; 0; 1; 0
70.391944; 4.16; 9.0; 0; 0; 1; 0
70.591891; 4.24; 9.0; 0; 0; 1; 0
70.791838; 4.32; 9.0; 0; 0; 1; 0
70.991785; 4.4; 9.0; 0; 0; 1; 0
71.191732; 4.48; 9.0; 0; 0; 1; 0
71.391679; 4.5600000000000005; 9.0; 0; 0; 1; 0
71.591626; 4.640000000000001; 9.0; 0; 0; 1; 0
71.791573; 4.720000000000001; 9.0; 0; 0; 1; 0
71.99152; 4.800000000000001; 9.0; 0; 0; 1; 0
72.191467; 4.880000000000001; 9.0; 0; 0; 1; 0
72.391414; 4.960000000000001; 9.0; 0; 0; 1; 0
72.591361; 5.040000000000001; 9.0; 0; 0; 1; 0
72.791308; 5.120000000000001; 9.0; 0; 0; 1; 0
